Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Done or not
MEDIUM,Maximum Earnings From Taxi,100.0,0.4478158965049748,[https://leetcode.com/problems/maximum-earnings-from-taxi](https://leetcode.com/problems/maximum-earnings-from-taxi),"Array, Hash Table, Binary Search, Dynamic Programming, Sorting",not done
MEDIUM,Asteroid Collision,76.1,0.4550051349550971,[https://leetcode.com/problems/asteroid-collision](https://leetcode.com/problems/asteroid-collision),"Array, Stack, Simulation",not done
HARD,Trapping Rain Water,69.3,0.651020475550146,[https://leetcode.com/problems/trapping-rain-water](https://leetcode.com/problems/trapping-rain-water),"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",not done
MEDIUM,Container With Most Water,69.3,0.5778290777243622,[https://leetcode.com/problems/container-with-most-water](https://leetcode.com/problems/container-with-most-water),"Array, Two Pointers, Greedy",not done
MEDIUM,Rotting Oranges,69.3,0.5661860286407837,[https://leetcode.com/problems/rotting-oranges](https://leetcode.com/problems/rotting-oranges),"Array, Breadth-First Search, Matrix",not done
MEDIUM,3Sum,69.3,0.37071055104225953,[https://leetcode.com/problems/3sum](https://leetcode.com/problems/3sum),"Array, Two Pointers, Sorting",not done
HARD,First Missing Positive,69.3,0.4108465120721653,[https://leetcode.com/problems/first-missing-positive](https://leetcode.com/problems/first-missing-positive),"Array, Hash Table",not done
HARD,Largest Rectangle in Histogram,69.3,0.4737757052465067,[https://leetcode.com/problems/largest-rectangle-in-histogram](https://leetcode.com/problems/largest-rectangle-in-histogram),"Array, Stack, Monotonic Stack",not done
MEDIUM,Deepest Leaves Sum,69.3,0.8634979671040474,[https://leetcode.com/problems/deepest-leaves-sum](https://leetcode.com/problems/deepest-leaves-sum),"Tree, Depth-First Search, Breadth-First Search, Binary Tree",not done
EASY,Repeated Substring Pattern,69.3,0.46889762560752873,[https://leetcode.com/problems/repeated-substring-pattern](https://leetcode.com/problems/repeated-substring-pattern),"String, String Matching",not done
MEDIUM,Largest Number,69.3,0.41280498079367123,[https://leetcode.com/problems/largest-number](https://leetcode.com/problems/largest-number),"Array, String, Greedy, Sorting",not done
MEDIUM,LRU Cache,69.3,0.45214835679238957,[https://leetcode.com/problems/lru-cache](https://leetcode.com/problems/lru-cache),"Hash Table, Linked List, Design, Doubly-Linked List",not done
MEDIUM,Lowest Common Ancestor of a Binary Tree,59.7,0.6675507493321811,[https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree](https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree),"Tree, Depth-First Search, Binary Tree",not done
MEDIUM,Group Anagrams,59.7,0.7092889662302778,[https://leetcode.com/problems/group-anagrams](https://leetcode.com/problems/group-anagrams),"Array, Hash Table, String, Sorting",not done
MEDIUM,Minimum Time to Collect All Apples in a Tree,59.7,0.6297810592427932,[https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree](https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree),"Hash Table, Tree, Depth-First Search, Breadth-First Search",not done
MEDIUM,Maximal Square,59.7,0.48761223109412016,[https://leetcode.com/problems/maximal-square](https://leetcode.com/problems/maximal-square),"Array, Dynamic Programming, Matrix",not done
MEDIUM,Wiggle Sort,59.7,0.6822006472491909,[https://leetcode.com/problems/wiggle-sort](https://leetcode.com/problems/wiggle-sort),"Array, Greedy, Sorting",not done
MEDIUM,Target Sum,59.7,0.5076670630713648,[https://leetcode.com/problems/target-sum](https://leetcode.com/problems/target-sum),"Array, Dynamic Programming, Backtracking",not done
MEDIUM,Minimum Moves to Equal Array Elements II,59.7,0.6095862132467602,[https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii](https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii),"Array, Math, Sorting",not done
EASY,Two Sum,59.7,0.557770083053179,[https://leetcode.com/problems/two-sum](https://leetcode.com/problems/two-sum),"Array, Hash Table",not done
MEDIUM,Flatten Binary Tree to Linked List,59.7,0.6851019754160277,[https://leetcode.com/problems/flatten-binary-tree-to-linked-list](https://leetcode.com/problems/flatten-binary-tree-to-linked-list),"Linked List, Stack, Tree, Depth-First Search, Binary Tree",not done
EASY,Best Time to Buy and Sell Stock,59.7,0.5525965062043136,[https://leetcode.com/problems/best-time-to-buy-and-sell-stock](https://leetcode.com/problems/best-time-to-buy-and-sell-stock),"Array, Dynamic Programming",not done
